"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Mouse,63920719,,137.5,
mango,72782608,,1294,
Earphone,85415108,,98,
"Baby doll",31261512,,69,
lychee,38314290,,175,
potato,212132,,50,
iphone-X,97103461,11101/11102/11103//7001,24,
"Galaxy S9",72100265,,16,
Shoe,90471412,,11,
"Polo Shirt",53467102,,105,
Toothpaste,859875003032,,10,
tissue,8941161008066,,35,
T-shirt,93475396,,2,
T-shirt,93475396,,3,
T-shirt,93475396,,2,
"Test variant",81145830,,2,
TV,32703342,,8,
testvar,32081679,,1,
Napa,41930312,,18,
Napa,41930312,,3,
Napa,41930312,,2,
"Denim Jeans",19243053,,6,
iphone-X,97103461,,1,
Napa,41930312,,500,
